.rownames,Mean,SE Mean,LCL Mean,UCL Mean,Stdev,Minimum,Lower quartile,Median,Upper quartile,Maximum
Y.hat.rf.sowing.t1_t5,0.526751,0.003534,0.519824,0.533679,0.267282,-0.819674,0.357893,0.505996,0.669386,1.949944
Y.hat.rf.sowing.t2_t5,0.490417,0.003638,0.483285,0.49755,0.275204,-0.842139,0.313167,0.471607,0.638127,1.727034
Y.hat.rf.sowing.t3_t5,0.358107,0.003356,0.351529,0.364685,0.253807,-0.934879,0.193805,0.352186,0.511207,1.5859
Y.hat.rf.sowing.t4_t5,0.147686,0.001512,0.144722,0.150649,0.114343,-0.64812,0.079116,0.140945,0.20352,0.808272
