.rownames,Mean,SE Mean,LCL Mean,UCL Mean,Stdev,Minimum,Lower quartile,Median,Upper quartile,Maximum
Y.hat.rf.irrig.four_one,1.064684,0.002884,1.059029,1.070338,0.218163,0.249267,0.931455,1.073104,1.204764,1.878297
Y.hat.rf.irrig.three_one,0.597937,0.00286,0.592329,0.603544,0.216342,0.067761,0.429065,0.575422,0.747934,1.569338
Y.hat.rf.irrig.two_one,0.30394,0.002476,0.299086,0.308793,0.187261,-0.083187,0.175543,0.251286,0.387157,1.051689
