"","estimate","std.err","contrast","outcome"
"T4_15Dec - T5_16Dec",0.230035577772277,0.0250312295112244,"T4_15Dec - T5_16Dec","Y.1"
"T3_30Nov - T5_16Dec",0.439455473989773,0.0229385189311889,"T3_30Nov - T5_16Dec","Y.1"
"T2_20Nov - T5_16Dec",0.57755961976206,0.0254487227548281,"T2_20Nov - T5_16Dec","Y.1"
"T1_10Nov - T5_16Dec",0.728178938988447,0.0434989181963568,"T1_10Nov - T5_16Dec","Y.1"
