"","estimate","std.err","contrast","outcome"
"Two - One",0.389361505007795,0.0229642101021345,"Two - One","Y.1"
"Three - One",0.762754594299487,0.0269555020236138,"Three - One","Y.1"
"Fourplus - One",1.3477955881421,0.0453220861799177,"Fourplus - One","Y.1"
