"","estimate","std.err","contrast","outcome"
"Manual - No weeding",0.259208667210019,0.0205048266032502,"Manual - No weeding","Y.1"
"Manual_herb - No weeding",0.29964598206074,0.0383988367605878,"Manual_herb - No weeding","Y.1"
"2,4-D - No weeding",0.363967746104058,0.0211093681398111,"2,4-D - No weeding","Y.1"
"SulfosulfuronMetsulfuron - No weeding",0.442528832303546,0.0253101365017576,"SulfosulfuronMetsulfuron - No weeding","Y.1"
