.rownames,Mean,SE Mean,LCL Mean,UCL Mean,Stdev,Minimum,Lower quartile,Median,Upper quartile,Maximum
Y.hat.rf.sowing.t1_t5,0.669089,0.003047,0.663115,0.675062,0.230488,0.090934,0.522355,0.647096,0.785915,1.768124
Y.hat.rf.sowing.t2_t5,0.659528,0.003044,0.653561,0.665496,0.230255,0.079828,0.511776,0.637813,0.775099,1.725827
Y.hat.rf.sowing.t3_t5,0.5487,0.002913,0.542989,0.554411,0.220353,-0.035093,0.415795,0.524586,0.65898,1.495802
Y.hat.rf.sowing.t4_t5,0.215919,0.001165,0.213635,0.218204,0.088152,-0.028962,0.18131,0.232277,0.27195,0.505248
