type,name,label,required,choice_filter,calculation,relevant,repeat_count,constraint,constraint_message,hint,default,appearance
select_one market,q703_marketSaleShare,Share of total ${q116_crop} crop production sold to market (%),yes,,,,,,,,,minimal
select_one market,q704_agIncomeShare,Share of total household income derived from agriculture (%) (approximate value over the last five years),yes,,,,,,,,,minimal
select_one market,q705_cropShareAg,Share of total agricultural income derived from ${q116_crop} crop (%)(approximate value over the last five years),yes,,,,,,,,,minimal
decimal,q706_cropSP,Current selling price for ${q116_crop} crop sold to market? (Rs/ quintal),yes,,,,,,,,,
decimal,q707_cropAvgSP,Average selling price for ${q116_crop} crop sold to market (Rs / quintal) (average over the last five years),yes,,,,,,,,,
decimal,q708_marketDistance,Distance to market (km),yes,,,,,,,,,
end group,,,,,,,,,,,,
,,,,,,,,,,,,
begin group,O,Tracking technology change in ${q116_crop},yes,,,"selected(${surveyConsent},'yes')",,,,,,
select_multiple newMgmt,newMgmtUse,Did you use new practices for surveyed crop management this season? (multiple select),yes,,,"not(selected(${q116_crop},'Fallow'))",,"(selected(${newMgmtUse}, 'None') and count-selected(.) = 1) or (not(selected(${newMgmtUse}, 'None')))","You cannot select ""None"" and other response at the same time !",,,
text,otherNewMgmt,Enter other new practice(s) used for surveyed crop management this season?,yes,,,"selected(${newMgmtUse},'Other')",,,,,,
calculate,q801_newMgmtUse,,,,"concat(${newMgmtUse},${otherNewMgmt})",,,,,,,
geopoint,largestPlotGPS,"GPS from the center of the ${q305_cropLargestArea}__${q301_LLU}  plot for ${q116_crop}.
Unique ID : ${uniqueID}",yes,,,,,,,Make sure the accuracy is less than 10 meters,,
end group,,,,,,,,,,,,
