type,name,label,required,choice_filter,calculation,relevant,repeat_count,constraint,constraint_message,hint,default,appearance
note,checkGypsum,"Basal Gypsum applied: ${q5210_basalGypsum} kg
Gypsum applied at First top dress: ${q5229_1tdGypsum} kg
Gypsum applied at Second top dress: ${q5249_2tdGypsum} kg
Gypsum applied at Third top dress: ${q5269_3tdGypsum} kg

Total amount of Gypsum applied: ${totAmtGypsum}__kg
If all the data entered are TRUE then proceed ahead or else go back and check.",,,,"selected(${basalFerts},'Gypsum') or selected(${firstTopDressFert},'Gypsum') or selected(${secondTopDressFert},'Gypsum') or selected(${thirdTopDressFert},'Gypsum')",,,,,,
note,checkBoron,"Basal Boron applied: ${q5211_basalBoron}
Boron applied at First top dress: ${q5231_1tdBoron} kg
Boron applied at Second top dress: ${q5251_2tdBoron} kg
Boron applied at Third top dress: ${q5271_3tdBoron} kg

Total amount of Boron applied: ${totAmtBoron}__kg
If all the data entered are TRUE then proceed ahead or else go back and check.",,,,"selected(${basalFerts},'Boron') or selected(${firstTopDressFert},'Boron') or selected(${secondTopDressFert},'Boron') or selected(${thirdTopDressFert},'Boron')",,,,,,
,,,,,,,,,,,,
decimal,q5112_priceDAP,DAP price per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'DAP') or selected(${firstTopDressFert},'DAP') or selected(${secondTopDressFert},'DAP') or selected(${thirdTopDressFert},'DAP'))",,,,,,
decimal,q5113_priceNPK,NPK price per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'NPK') or selected(${firstTopDressFert},'NPK') or selected(${secondTopDressFert},'NPK') or selected(${thirdTopDressFert},'NPK'))",,,,,,
decimal,q5114_priceUrea,Urea price per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'Urea') or selected(${firstTopDressFert},'Urea') or selected(${secondTopDressFert},'Urea') or selected(${thirdTopDressFert},'Urea'))",,,,,,
decimal,q5127_priceMoP,Price of MoP per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'MoP') or selected(${firstTopDressFert},'MoP') or selected(${secondTopDressFert},'MoP') or selected(${thirdTopDressFert},'MoP'))",,,,,,
decimal,q5115_priceZnSO4,Zinc sulfate price per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'ZnSO4') or selected(${firstTopDressFert},'ZnSO4') or selected(${secondTopDressFert},'ZnSO4') or selected(${thirdTopDressFert},'ZnSO4'))",,,,,,
decimal,q5116_priceGypsum,Gypsum price per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'Gypsum') or selected(${firstTopDressFert},'Gypsum') or selected(${secondTopDressFert},'Gypsum') or selected(${thirdTopDressFert},'Gypsum'))",,,,,,
decimal,q5117_priceBoron,Boron price per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'Boron') or selected(${firstTopDressFert},'Boron') or selected(${secondTopDressFert},'Boron') or selected(${thirdTopDressFert},'Boron'))",,,,,,
decimal,q5126_priceNPKS,Price of NPKS per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'NPKS') or selected(${firstTopDressFert},'NPKS') or selected(${secondTopDressFert},'NPKS') or selected(${thirdTopDressFert},'NPKS'))",,,,,,
decimal,q5128_priceSSP,Price of SSP per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'SSP') or selected(${firstTopDressFert},'SSP') or selected(${secondTopDressFert},'SSP') or selected(${thirdTopDressFert},'SSP'))",,,,,,
decimal,q5129_priceTSP,Price of TSP per kg ,yes,,,"selected(${q101_country},'Nepal') and (selected(${basalFerts},'TSP') or selected(${firstTopDressFert},'TSP') or selected(${secondTopDressFert},'TSP') or selected(${thirdTopDressFert},'TSP'))",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
select_multiple fertInfo,q5273_fertInfoSource,What is your source of information on fertilizer/micronutrient use? (multiple select),yes,,,"selected(${q5104_applyMineralFert},'yes')",,,,,,minimal
text,q5274_fertInfoOther,Enter other source of information on fertilizer/micronutrient use,yes,,,"selected(${q5273_fertInfoSource},'Other')",,,,,,
select_one fertSource,q5275_sourceDAP,Source of purchase of DAP,yes,,,"selected(${basalFerts},'DAP') or selected(${firstTopDressFert},'DAP') or selected(${secondTopDressFert},'DAP') or selected(${thirdTopDressFert},'DAP')",,,,,,minimal
