"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,22.4,26.7,33.8,37,37.4,35.1,33.6,32.7,32.7,32.5,28.4,24.9
"2",2,23.2,27.5,34.7,39,38.5,35.8,33.7,32.8,32.7,32.8,28.5,25.2
"3",3,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"4",4,22.7,27,34,37.6,37.5,35.1,33.8,32.7,32.8,32.5,28.5,25.1
"5",5,22.9,27.3,34.3,38.4,37.6,35.4,33.9,32.9,32.8,32.7,28.3,25
"6",6,22.5,26.8,34,37.4,37.5,35.1,33.7,32.7,32.8,32.5,28.4,25
"7",7,22.9,27.3,34.7,38.8,38,35.7,33.6,32.8,32.5,32.5,28.2,25
"8",8,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"9",9,24.3,27.7,32.5,35.1,32.8,33,32.9,32.3,33.4,32.9,28.6,25.9
"10",10,23.5,27.5,34.1,38.6,37.6,35.7,33.8,32.8,32.8,32.9,28.7,25.4
"11",11,24.2,28.2,33.7,35.8,33.5,33.4,32.9,32.5,33.5,33.2,29.3,26.6
"12",12,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"13",13,23.1,27.6,34.9,38.9,37.8,35.8,33.7,32.8,32.5,32.5,28.1,25
"14",14,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"15",15,23.8,27.4,33.2,35,33.1,33.1,32.7,32.1,33,32.7,28.7,26.3
"16",16,23.6,27.2,32.7,34.4,33,33.1,32.7,32,32.8,32.7,28.7,26
"17",17,23.1,27.6,34.9,38.9,37.8,35.8,33.7,32.8,32.5,32.5,28.1,25
"18",18,24.2,28.2,33.7,35.8,33.5,33.4,32.9,32.5,33.5,33.2,29.3,26.6
"19",19,23.1,27.6,34.9,38.9,37.8,35.8,33.7,32.8,32.5,32.5,28.1,25
"20",20,24.1,27.9,33.5,35.9,33.8,33.5,32.9,32.4,33.6,33.3,29.3,26.6
"21",21,24.1,27.7,33.5,34.8,32.6,32.9,32.6,32,33.1,32.7,28.8,26.3
"22",22,24.1,27.7,33.5,34.8,32.6,32.9,32.6,32,33.1,32.7,28.8,26.3
"23",23,24.3,27.7,32.6,35.3,32.8,33,32.9,32.3,33.5,33,28.7,26
"24",24,24.3,27.7,32.5,35.1,32.8,33,32.9,32.3,33.4,32.9,28.6,25.9
"25",25,22.6,27.1,34.5,38.3,37.6,35.5,33.8,32.8,32.7,32.6,28.2,24.9
"26",26,24.3,27.7,32.6,35.3,32.8,33,32.9,32.3,33.5,33,28.7,26
"27",27,23.5,27.3,32.7,34.5,33,33.1,32.9,32.1,32.9,32.9,28.8,25.9
"28",28,23.2,27.5,34.7,39,38.5,35.8,33.7,32.8,32.7,32.8,28.5,25.2
"29",29,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"30",30,22.6,27.2,34.4,38.8,38,35.8,33.6,32.8,32.7,32.7,28.4,25
"31",31,23.2,27.4,34,38.2,37.1,35.2,34,32.7,32.9,32.6,28.7,25.4
"32",32,22.7,26.9,33.3,35.9,33.4,33.3,33.2,32.4,33.1,32.9,28.1,24.7
"33",33,22.3,26.8,33.8,36.9,37.2,35.2,33.5,32.6,32.9,32.6,28.6,24.8
"34",34,22.8,27.2,34.7,38.6,37.8,35.8,33.7,32.8,32.5,32.4,28.2,25
"35",35,22.7,27,34.1,38,37.5,35.2,33.8,32.7,32.8,32.6,28.4,25
"36",36,23.5,27.3,33.5,38.1,37.3,35.4,33.8,32.7,32.7,32.5,28.8,25.7
"37",37,23.4,27.3,33.5,35.1,33.7,33.3,32.8,32,33,32.9,28.6,26
"38",38,22.7,27,34.1,37.9,37.4,35,33.8,32.7,32.8,32.5,28.5,25.1
"39",39,23.4,27.5,34.2,38.2,37.1,35.2,33.8,32.7,32.7,32.5,28.6,25.4
"40",40,23.1,27.1,34.2,38.1,37.3,35,33.7,32.7,32.8,32.5,28.6,25.3
"41",41,22.7,27,34.1,37.9,37.4,35,33.8,32.7,32.8,32.5,28.5,25.1
"42",42,22.5,27,33.6,36.7,33.9,33.4,33.2,32.4,33,32.9,28.5,25
"43",43,23.4,27.5,34.2,38.2,37.1,35.2,33.8,32.7,32.7,32.5,28.6,25.4
"44",44,22.5,27.1,33.7,36.8,34.6,33.6,33.2,32.4,32.9,33,28.7,25.1
"45",45,23.2,27.6,34.9,38.7,37.7,35.7,33.7,32.8,32.5,32.6,28.2,25
"46",46,23.4,26.5,31.9,34.4,31.9,32.4,32.3,31.5,32.6,32.8,28.3,25.1
"47",47,22.5,26.7,33.6,36.6,34.1,33,33,32.1,32.7,33.1,28.2,24.5
"48",48,22.8,26.9,33.7,36.3,33.6,33.1,32.9,32.2,32.8,32.9,27.9,24.3
"49",49,22.6,26.9,33.7,36.2,33.5,33,33.1,32.3,32.8,33,28.2,24.8
"50",50,22.3,26.9,33.9,37.5,35.9,34.3,33.2,32.3,32.8,33.3,28.9,24.9
"51",51,22.6,27.8,34.1,37.4,36.3,34.8,33.8,32.7,32.9,33.6,29.5,25.6
"52",52,22.3,26.9,33.9,37.5,35.9,34.3,33.2,32.3,32.8,33.3,28.9,24.9
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,23.5,27.9,34.3,37.6,36,34.7,33.3,32.6,32.9,32.5,29.1,26.3
"55",55,22.5,26.7,33.6,36.6,34.1,33,33,32.1,32.7,33.1,28.2,24.5
"56",56,22.3,26.5,33.4,35.9,36.8,34.7,33.3,32.4,32.5,32.3,28.2,24.8
"57",57,22.8,26.9,33.6,35.9,33.4,33.1,33.1,32.2,32.9,32.9,28,24.6
"58",58,23.1,28.1,35.2,39.9,38.1,35.7,34.3,33.2,33.2,33.6,29.3,25.5
"59",59,23,27,33.1,35,35.1,34.2,33,32,32.7,32.7,28.7,25.7
"60",60,23.4,27.4,33.4,35.3,33.9,33.7,32.9,32.4,33.1,33,28.9,26
"61",61,23.1,27.1,34.2,38.1,37.3,35,33.7,32.7,32.8,32.5,28.6,25.3
"62",62,23.5,26.9,32.6,34.6,32.7,32.7,32.3,31.6,32.9,32.7,28.4,25.6
"63",63,23.4,26.8,32.6,34.5,32.6,32.6,32.3,31.6,32.9,32.7,28.2,25.4
"64",64,23.1,27.1,34.2,38.1,37.3,35,33.7,32.7,32.8,32.5,28.6,25.3
"65",65,23.3,27.4,33.2,36.1,34.4,34.1,33,32.3,33.3,33.1,29.1,26.1
"66",66,23.8,26.9,32.1,34.2,32.1,32.4,32.7,31.7,33.3,32.9,28.2,25.1
"67",67,23.9,28.2,34.6,38.1,36.1,34.9,33.3,32.7,32.9,32.6,29.3,26.6
"68",68,24,28.1,34.4,37.7,35.9,34.7,33.1,32.5,32.8,32.6,29.2,26.5
"69",69,24,28.1,34.4,37.7,35.9,34.7,33.1,32.5,32.8,32.6,29.2,26.5
"70",70,24.3,28.6,34.5,38.8,36.7,35.2,33,32.6,33,33,29.4,26.9
"71",71,23.8,28.1,34.5,37.5,35.8,34.6,33.2,32.5,33,32.5,29.3,26.6
"72",72,23.8,28.1,34.5,37.5,35.8,34.6,33.2,32.5,33,32.5,29.3,26.6
"73",73,23.9,28.2,34.6,38.1,36.1,34.9,33.3,32.7,32.9,32.6,29.3,26.6
"74",74,23.9,28.2,34.6,38.1,36.1,34.9,33.3,32.7,32.9,32.6,29.3,26.6
"75",75,23.3,27.6,33.5,37.2,36,35.1,33,32.5,33.1,32.9,29.3,26.1
"76",76,22.6,26.4,32.7,33.8,32.9,32.7,32.6,31.6,32.7,32.4,28.2,25
"77",77,22.6,26.4,32.7,33.8,33.1,32.7,32.6,31.5,32.5,32.5,28,25.2
"78",78,24.3,27.9,33.5,36.4,34.2,33.5,33,32.4,33.2,33,29.5,27
