"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1426",1426,23.1,25.6,31.3,33.5,33.7,33.3,32.2,32.9,32.2,33.3,28.3,24.6
"1427",1427,23.2,25.7,31.5,36.5,38.7,35.5,33.6,33,33.1,33.2,28.5,24.8
"1428",1428,23.9,26.7,32.1,36.8,37.4,35.7,33,33.3,32.8,33.2,28.9,25.4
"1429",1429,22.4,25.4,31.8,36.4,37.5,33.9,32.7,33.4,32.8,33.7,28.5,24.2
"1430",1430,22.4,25.2,31.3,35.1,36,33.3,32.3,33.4,32.5,33.5,28.3,23.8
"1431",1431,23.4,25.9,31.1,33.4,33.2,32.7,31.6,32.6,31.9,33.1,28.2,24.8
"1432",1432,23.4,26.3,31.4,35.1,35.6,34.7,32.5,33.2,32.9,33.7,28.8,25
"1433",1433,22.5,25.3,31.9,35.4,36.1,33.6,32.6,33.3,32.6,33.8,28.5,24
"1434",1434,22.5,25.6,31.6,37,39.2,36,33.3,33.2,32.9,33.4,28.2,24.3
"1435",1435,23.5,26.3,31.3,35.1,34.9,34.3,32.6,33,32.9,33.8,28.8,25.1
"1436",1436,22.4,25.2,31.3,35.1,36,33.3,32.3,33.4,32.5,33.5,28.3,23.8
"1437",1437,22.4,24.8,30.9,33.3,34.6,33.4,32.4,33.1,32.3,33.2,28,24
"1438",1438,22.4,25.3,31.9,35.8,37.3,34.8,32.8,33.3,32.9,33.5,28.8,24.1
"1439",1439,22.2,25.1,31.2,36.2,37.4,34.1,32.3,33.2,32.9,33.5,28.2,23.7
"1440",1440,23.1,26.3,32.1,37.4,39.2,36.1,33.5,33.3,33.1,33.7,28.8,25
"1441",1441,22.4,25,31.4,34.5,35.2,33.4,32.5,33.3,32.6,33.4,28.4,24
"1442",1442,22.4,24.9,31.2,34.6,35.2,33.2,32.5,33.3,32.5,33.5,28.3,23.9
"1443",1443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1444",1444,22.4,25.1,31.2,34.6,35.3,33.1,32.4,33.4,32.5,33.6,28.3,23.8
"1445",1445,22.5,25.3,31.9,35.4,36.1,33.6,32.6,33.3,32.6,33.8,28.5,24
"1446",1446,22.1,25,31.2,36.4,37.8,34.3,32.3,33.2,32.8,33.7,28.3,23.8
"1447",1447,22.7,26.4,32.7,37.9,39.6,35.8,33.8,33.6,33.6,34.3,28.9,24.7
"1448",1448,22.6,25.8,31.8,37.2,39.2,36.1,33.4,33.2,33.1,33.5,28.4,24.5
"1449",1449,22.9,26.1,32.2,37.3,39.2,36.1,33.5,33.3,33.1,33.6,28.6,24.9
"1450",1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1451",1451,23.4,26.1,31.3,35.1,36,34.8,32.7,33.2,32.7,33.6,28.6,24.9
"1452",1452,22.7,25,30.8,33.1,33.9,33.1,32,32.7,32.1,33,27.9,24.1
"1453",1453,23.5,26.5,31.8,36.5,37.1,35.3,32.8,33.4,33.2,33.8,29.1,25.2
"1454",1454,22.3,24.7,30.7,33.3,34.4,33.1,32.3,33.1,32.2,33.2,27.9,24
"1455",1455,23.6,26.4,31.7,36.2,36.8,35.2,32.7,33.3,33.1,33.8,29.1,25.1
"1456",1456,22.5,25.7,31.7,36.8,39.4,35.9,33.3,33.2,33.1,33.6,28.4,24.3
"1457",1457,22.7,25,30.8,33.1,33.9,33.1,32,32.7,32.1,33,27.9,24.1
"1458",1458,22.6,26.1,32.1,37.2,39.3,35.5,33.2,33.6,33.1,34.3,29.2,24.8
"1459",1459,22.5,25.5,31.9,36.4,37.8,34.3,32.7,33.5,32.8,33.8,28.8,24.2
"1460",1460,22.4,25.4,31.8,36.4,37.5,33.9,32.7,33.4,32.8,33.7,28.5,24.2
"1461",1461,23.5,26.3,31.5,35.3,35.9,34.6,32.5,33,32.8,33.7,28.9,25.1
"1462",1462,22.6,26.1,32.5,37.6,39.5,35.9,33.5,33.4,33.3,33.9,28.7,24.6
"1463",1463,22.4,25.4,31.8,36.4,37.5,33.9,32.7,33.4,32.8,33.7,28.5,24.2
"1464",1464,22.7,25.5,31.4,36.1,38.9,35.7,33.4,33.2,33,33.4,28.4,24.4
"1465",1465,22.4,25.2,31.2,34.9,35.7,33.1,32.3,33.4,32.5,33.5,28.2,23.9
"1466",1466,22.9,25.6,31.2,35.8,38.5,35.5,33.5,33.2,33.1,33.4,28.6,24.5
"1467",1467,22.4,25.3,31,35,35.4,33,32.3,33.2,32.6,33.1,28,23.8
"1468",1468,22.3,25,31,35.5,36.3,33.1,32.2,33.3,32.6,33.5,28.1,23.6
"1469",1469,22.5,25.2,31.9,35.4,36,33.5,32.5,33.4,32.6,33.8,28.5,24.1
"1470",1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1471",1471,23,26.6,32.1,37.9,39.7,35.7,34,33.5,33.7,34.4,29.4,25.2
"1472",1472,22.7,26.4,32.8,37.7,39.3,35.8,33.8,33.5,33.6,34.6,29.6,24.8
"1473",1473,22.4,24.8,30.7,33.6,34.3,33.1,32.3,33.1,32.2,33.2,28,23.9
"1474",1474,22.3,25.4,31.8,36.8,39.4,35.6,33.1,33.4,32.9,33.5,28.4,24.2
"1475",1475,22.5,25.2,31.2,34.8,35.6,33,32.2,33.3,32.5,33.2,27.8,23.5
"1476",1476,22.5,25.3,32,36.2,37.3,34.1,32.7,33.4,32.9,33.6,28.6,24.2
"1477",1477,22.5,25.3,31.2,34.4,35.4,33,32.3,33.5,32.6,33.4,27.8,23.8
"1478",1478,23.5,26,31.5,36.6,38.8,35.6,33.8,33.1,33.3,33.3,28.7,25.3
"1479",1479,22.5,24.8,30.7,33.1,33.9,33.1,32.2,32.8,32.2,33.1,28,24
"1480",1480,22.4,25.1,31.4,35.3,36,33.3,32.3,33.4,32.5,33.6,28.4,23.9
"1481",1481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1482",1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1483",1483,23.7,26.1,31.7,36.8,39,35.6,33.7,33,33.2,33.3,28.5,25.2
"1484",1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1485",1485,23.5,26.3,31.7,36.2,36.7,35.1,32.8,33.1,33,33.7,29.1,25.1
"1486",1486,23.5,26.2,31.3,34.4,34.5,34,32.7,33.1,32.9,33.8,28.8,25.1
"1487",1487,22.3,25.2,31.5,36.3,37.5,34.4,32.4,33.4,32.8,33.7,28.7,24.1
"1488",1488,22.5,25.2,31.8,35.8,36.7,33.9,32.5,33.4,32.7,33.7,28.6,24.1
"1489",1489,23.4,26.3,31.4,35.2,35.8,34.8,32.7,33.2,32.9,33.7,28.7,25
"1490",1490,22.8,25.4,31.1,35.2,38,35,33,33.2,32.8,33.2,28.3,24.2
"1491",1491,22.4,25.3,32,35.9,37.2,34.3,32.7,33.3,32.8,33.5,28.6,24.1
"1492",1492,22.2,25,31,35.7,36.7,33.6,32.3,33.2,32.8,33.4,28.1,23.6
"1493",1493,23.2,25.8,31.2,33.9,35.4,34.3,32.6,32.8,32.4,33.4,28.5,24.7
"1494",1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1495",1495,22.6,26.1,32.1,37.2,39.3,35.5,33.2,33.6,33.1,34.3,29.2,24.8
"1496",1496,24.3,26.7,31.5,33.5,33.2,33.3,32.3,33.2,32.9,33.8,28.9,25.6
"1497",1497,24.3,26.6,31.5,33.5,33.2,33.3,32.4,33.2,33,33.8,28.9,25.6
"1498",1498,22.6,26.1,32.1,37.2,39.3,35.5,33.2,33.6,33.1,34.3,29.2,24.8
"1499",1499,23.4,25.9,31.5,36.5,38.6,35.5,33.8,33.1,33.4,33.3,28.6,25
"1500",1500,22.4,25.1,31.1,35.1,36,33.1,32.3,33.3,32.6,33.5,28,23.7
"1501",1501,22.2,25.1,31,35.5,36.2,33,32.2,33.2,32.6,33.4,28,23.6
"1502",1502,22.6,26.1,32.2,37.3,39.4,35.8,33.6,33.4,33.4,34,28.9,24.8
"1503",1503,22,25.2,31.4,34.7,34.9,33.3,32.2,33.5,32.2,33.2,27.8,23.4
"1504",1504,22.5,25.2,31.2,34.7,35.6,33.1,32.3,33.4,32.5,33.5,28.1,23.8
"1505",1505,22.6,25,30.8,33.3,33.8,32.8,32,32.7,32.1,33,27.9,24
"1506",1506,22.7,26.4,32.8,37.9,39.6,35.7,33.9,33.6,33.6,34.3,29,24.7
"1507",1507,22.4,25.6,32,37.1,39.4,35.7,33.1,33.5,33,33.7,28.6,24.3
"1508",1508,22.6,26.2,32.6,37.8,39.6,35.9,33.5,33.5,33.4,34.2,28.9,24.6
"1509",1509,22.5,25.7,31.6,36.7,39.2,35.8,33.3,33.1,33,33.3,28.1,24.4
"1510",1510,22.4,25.5,31.9,36.2,37.4,34,32.8,33.5,32.9,33.9,28.8,24.4
"1511",1511,22.6,25,30.8,33.3,33.8,32.8,32,32.7,32.1,33,27.9,24
"1512",1512,22.4,24.9,31.4,34.4,35.2,33.4,32.5,33.4,32.5,33.4,28.2,24.1
"1513",1513,22.7,26.4,32.8,37.7,39.3,35.8,33.8,33.5,33.6,34.6,29.6,24.8
"1514",1514,23.8,26.7,32.2,36.8,37.2,35.4,32.9,33.3,32.8,33.3,28.9,25.3
"1515",1515,22.8,25.5,31.2,35.8,38.6,35.5,33.5,33.2,33.1,33.3,28.4,24.3
"1516",1516,22.5,25.8,31.9,37,38.8,34.9,33,33.5,33,34,28.9,24.4
"1517",1517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1518",1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1519",1519,24.5,26.6,31.1,33.1,32.7,33.1,32.3,33.3,32.6,33.6,28.8,25.6
"1520",1520,22.7,26.4,32.6,38,39.5,35.7,33.9,33.6,33.6,34.4,29,24.7
"1521",1521,22.4,25.2,31,34.9,35.7,33,32.3,33.3,32.6,33.4,27.9,23.6
"1522",1522,22.5,25.1,31.2,34.6,35.4,33.1,32.4,33.4,32.5,33.6,28.4,24
"1523",1523,22.7,26.4,32.6,37.9,39.6,35.8,33.9,33.6,33.6,34.3,28.8,24.8
"1524",1524,22.4,25.3,31.3,34.8,35.6,33.1,32.2,33.4,32.5,33.2,27.8,23.4
"1525",1525,22.5,24.9,30.6,33.9,34.1,32.8,32.2,33.2,32.2,33.3,28,23.9
"1526",1526,22.4,25.1,31.3,34.9,35.5,33.3,32.4,33.4,32.6,33.6,28.5,24
"1527",1527,22.4,25.1,31.2,34.6,35.3,33.1,32.4,33.4,32.5,33.6,28.3,23.8
"1528",1528,22.5,25.2,31.2,34.8,35.6,33,32.2,33.3,32.5,33.2,27.8,23.5
"1529",1529,22.4,25.4,31.9,36.6,37.7,34.1,32.6,33.4,32.8,33.7,28.8,24.3
"1530",1530,22.4,25.3,31.7,36.4,37.6,34.5,32.6,33.4,32.9,33.7,28.8,24.3
"1531",1531,22.2,25.3,31.5,36.7,38.3,34.4,32.5,33.3,32.9,33.9,28.6,24.1
